序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,37,Upscale Model Loader,4x-UltraSharp.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%224x-UltraSharp.pth%22
2,"63,91",LoraLoader,C4D渲染风格（Q版）_v1.23.safetensors,,,,https://www.bing.com/search?q=site:liblib.art+%22C4D渲染风格（Q版）_v1.23.safetensors%22
3,50,Upscale Model Loader,RealESRGAN_x4plus_anime_6B.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x4plus_anime_6B.pth%22
4,42,ControlNetLoaderAdvanced,control_v11f1e_sd15_tile.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11f1e_sd15_tile.pth%22
5,73,UltralyticsDetectorProvider,face_yolov8m.pt,,,,https://www.bing.com/search?q=site:huggingface.co+%22face_yolov8m.pt%22
6,13,LoraLoader,lcm-lora-sdv1-5.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22lcm-lora-sdv1-5.safetensors%22
7,46,CheckpointLoaderSimple,meinamix_meinaV11.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22meinamix_meinaV11.safetensors%22
8,3,CheckpointLoaderSimple,meinapastel_V4.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22meinapastel_V4.safetensors%22
9,72,SAMLoader,sam_vit_h_4b8939.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22sam_vit_h_4b8939.pth%22
10,"10,49",VAELoader,vae-ft-mse-840000-ema-pruned.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vae-ft-mse-840000-ema-pruned.safetensors%22
