序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,"74,168",UpscaleModelLoader,4x-UltraSharp.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%224x-UltraSharp.pth%22
2,"78,106,124",InsightFaceLoader,CUDA,,,,https://www.bing.com/search?q=site:huggingface.co+%22CUDA%22
3,"71,166",ControlNetLoaderAdvanced,control_v11f1e_sd15_tile_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11f1e_sd15_tile_fp16.safetensors%22
4,104,IPAdapterModelLoader,ip-adapter-faceid-plus_sd15.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-faceid-plus_sd15.bin%22
5,122,IPAdapterModelLoader,ip-adapter-faceid-plusv2_sd15.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-faceid-plusv2_sd15.bin%22
6,76,IPAdapterModelLoader,ip-adapter-faceid_sd15.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-faceid_sd15.bin%22
7,"42,101,119",LoraLoaderModelOnly,ip-adapter-faceid_sd15_lora.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-faceid_sd15_lora.safetensors%22
8,20,IPAdapterModelLoader,ip-adapter-full-face_sd15.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-full-face_sd15.safetensors%22
9,11,IPAdapterModelLoader,ip-adapter-plus-face_sd15.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter-plus-face_sd15.bin%22
10,"12,77,105,123",CLIPVisionLoader,pytorch_model.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22pytorch_model.bin%22
11,8,VAELoader,vae-ft-mse-840000-ema-pruned.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vae-ft-mse-840000-ema-pruned.safetensors%22
