序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,188,ESAM_ModelLoader_Zho,CUDA,,,,https://www.bing.com/search?q=site:huggingface.co+%22CUDA%22
2,25,IPAdapterUnifiedLoader,PLUS (high strength),,,,https://www.bing.com/search?q=site:huggingface.co+%22PLUS+(high+strength)%22
3,181,SUPIR_Upscale,SUPIR-v0F.ckpt,,,,https://www.bing.com/search?q=site:huggingface.co+%22SUPIR-v0F.ckpt%22
4,181,SUPIR_Upscale,XXMix_9realisticSDXL.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22XXMix_9realisticSDXL.safetensors%22
5,"13,207",ControlNetLoader,control_v11p_sd15_canny.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11p_sd15_canny.pth%22
6,11,BrushNetLoader,diffusion_pytorch_model (1).safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusion_pytorch_model+(1).safetensors%22
7,4,CheckpointLoaderSimple,dreamshaper_8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaper_8.safetensors%22
8,103,LLava Loader Simple,ggml-model-q4_k.gguf,,,,https://www.bing.com/search?q=site:huggingface.co+%22ggml-model-q4_k.gguf%22
9,32,UNETLoader,iclight_sd15_fc_unet_ldm.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22iclight_sd15_fc_unet_ldm.safetensors%22
10,187,Yoloworld_ModelLoader_Zho,l,,,,https://www.bing.com/search?q=site:huggingface.co+%22l%22
11,104,LlavaClipLoader,mmproj-model-f16.gguf,,,,https://www.bing.com/search?q=site:huggingface.co+%22mmproj-model-f16.gguf%22
