序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,60,LoraLoader,20231028-1698470864157-0001.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%2220231028-1698470864157-0001.safetensors%22
2,49,UpscaleModelLoader,4x-UltraSharp.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%224x-UltraSharp.pth%22
3,176,CLIPVisionLoader,CLIP-ViT-bigG-14-laion2B-39B-b160k.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22CLIP-ViT-bigG-14-laion2B-39B-b160k.safetensors%22
4,114,Upscale Model Loader,ESRGAN_4x.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22ESRGAN_4x.pth%22
5,72,GroundingDinoModelLoader (segment anything),GroundingDINO_SwinB (938MB),,,,https://www.bing.com/search?q=site:huggingface.co+%22GroundingDINO_SwinB+(938MB)%22
6,47,LoraLoader,SDXL_offset_example-lora_1.0.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22SDXL_offset_example-lora_1.0.safetensors%22
7,13,CheckpointLoaderSimple,Stable Diffusion SDXL refiner_1.0 refiner.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22Stable+Diffusion+SDXL+refiner_1.0+refiner.safetensors%22
8,103,ControlNetLoader,diffusers_xl_canny_full.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22diffusers_xl_canny_full.safetensors%22
9,2,CheckpointLoaderSimple,dreamshaperXL_turboDpmppSDE.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaperXL_turboDpmppSDE.safetensors%22
10,174,IPAdapterModelLoader,ip-adapter_sdxl.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter_sdxl.safetensors%22
11,192,ControlNetLoader,sai_xl_recolor_128lora.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22sai_xl_recolor_128lora.safetensors%22
12,75,SAMModelLoader (segment anything),sam_hq_vit_h (2.57GB),,,,https://www.bing.com/search?q=site:huggingface.co+%22sam_hq_vit_h+(2.57GB)%22
13,61,VAELoader,sdxl_vae.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22sdxl_vae.safetensors%22
