工作流文件,CSV文件,缺失数量
wanvideo_1_3B_ReCamMaster_example_01.json,wanvideo_1_3B_ReCamMaster_example_01.csv,4
wanvideo_1_3B_ReCamMaster_example_01.json,wanvideo_1_3B_ReCamMaster_example_01.csv,4
wanvideo_1_3B_VACE_examples_02.json,wanvideo_1_3B_VACE_examples_02.csv,3
wanvideo_1_3B_VACE_examples_02.json,wanvideo_1_3B_VACE_examples_02.csv,3
wanvideo_1_3B_control_lora_example_01.json,wanvideo_1_3B_control_lora_example_01.csv,4
wanvideo_1_3B_control_lora_example_01.json,wanvideo_1_3B_control_lora_example_01.csv,4
wanvideo_480p_I2V_endframe_example_01.json,wanvideo_480p_I2V_endframe_example_01.csv,6
wanvideo_480p_I2V_endframe_example_01.json,wanvideo_480p_I2V_endframe_example_01.csv,6
wanvideo_480p_I2V_example_02.json,wanvideo_480p_I2V_example_02.csv,5
wanvideo_480p_I2V_example_02.json,wanvideo_480p_I2V_example_02.csv,5
wanvideo_FLF2V_720P_example_01.json,wanvideo_FLF2V_720P_example_01.csv,6
wanvideo_FLF2V_720P_example_01.json,wanvideo_FLF2V_720P_example_01.csv,6
wanvideo_Fun_control_example_01.json,wanvideo_Fun_control_example_01.csv,5
wanvideo_Fun_control_example_01.json,wanvideo_Fun_control_example_01.csv,5
wanvideo_T2V_example_02.json,wanvideo_T2V_example_02.csv,4
wanvideo_T2V_example_02.json,wanvideo_T2V_example_02.csv,4
wanvideo_flowedit_I2V_example_01.json,wanvideo_flowedit_I2V_example_01.csv,6
wanvideo_flowedit_I2V_example_01.json,wanvideo_flowedit_I2V_example_01.csv,6
wanvideo_long_T2V_example_01.json,wanvideo_long_T2V_example_01.csv,3
wanvideo_long_T2V_example_01.json,wanvideo_long_T2V_example_01.csv,3
wanvideo_skyreels_a2_example_01.json,wanvideo_skyreels_a2_example_01.csv,5
wanvideo_skyreels_a2_example_01.json,wanvideo_skyreels_a2_example_01.csv,5
wanvideo_skyreels_diffusion_forcing_extension_example_01.json,wanvideo_skyreels_diffusion_forcing_extension_example_01.csv,4
wanvideo_skyreels_diffusion_forcing_extension_example_01.json,wanvideo_skyreels_diffusion_forcing_extension_example_01.csv,4
wanvideo_vid2vid_example_01.json,wanvideo_vid2vid_example_01.csv,3
wanvideo_vid2vid_example_01.json,wanvideo_vid2vid_example_01.csv,3
