序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,22,WanVideoModelLoader,Wan2_1-FLF2V-14B-720P_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-720P_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-720P_fp8_e4m3fn.safetensors,
2,22,WanVideoModelLoader,Wan2_1-I2V-14B-480P_fp8_e4m3fn.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22Wan2_1-I2V-14B-480P_fp8_e4m3fn.safetensors%22
3,22,WanVideoModelLoader,Wan2_1-SkyReels-V2-DF-1_3B-540P_fp32.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/tree/main/Skyreels,https://hf-mirror.com/Kijai/WanVideo_comfy/tree/main/Skyreels,
4,22,WanVideoModelLoader,Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,
5,22,WanVideoModelLoader,Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,
6,38,WanVideoVAELoader,Wan2_1_VAE_bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_bf16.safetensors,
7,22,WanVideoModelLoader,Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,
8,59,CLIPVisionLoader,clip_vision_h.safetensors,搜索错误,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_vision_h.safetensors%22
9,56,LoadWanVideoClipTextEncoder,open-clip-xlm-roberta-large-vit-huge-14_visual_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22open-clip-xlm-roberta-large-vit-huge-14_visual_fp16.safetensors%22
10,56,LoadWanVideoClipTextEncoder,open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors%22
11,11,LoadWanVideoT5TextEncoder,umt5-xxl-enc-bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22umt5-xxl-enc-bf16.safetensors%22
12,48,CLIPLoader,umt5_xxl_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22umt5_xxl_fp16.safetensors%22
13,22,WanVideoModelLoader,vace_preview_fp32.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vace_preview_fp32.safetensors%22
14,98,WanVideoLoraSelect,wan2.1-1.3b-control-lora-tile-v0.1_comfy.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1-1.3b-control-lora-tile-v0.1_comfy.safetensors%22
15,22,WanVideoModelLoader,wan2.1_fun_control_1.3B_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1_fun_control_1.3B_bf16.safetensors%22
16,22,WanVideoModelLoader,wan2.1_t2v_1.3B_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22wan2.1_t2v_1.3B_fp16.safetensors%22
