序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,67,LoraLoader,New Chinese_新中式_茶室_会所_1.0,,,,https://www.bing.com/search?q=site:liblib.art+%22New+Chinese_新中式_茶室_会所_1.0%22
2,62,UpscaleModelLoader,R-ESRGAN_4x+,,,,https://www.bing.com/search?q=site:huggingface.co+%22R-ESRGAN_4x+%22
3,43,VAELoader,ae.sft,,,,https://www.bing.com/search?q=site:huggingface.co+%22ae.sft%22
4,42,DualCLIPLoader,clip_l,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_l%22
5,22,ControlNetLoader,control_sd15_depth_anything,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_sd15_depth_anything%22
6,88,ControlNetLoader,control_v11p_sd15s2_lineart_anime,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11p_sd15s2_lineart_anime%22
7,54,StyleModelLoader,flux1-redux-dev,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-redux-dev%22
8,56,CLIPVisionLoader,sigclip_vision_patch14_384,,,,https://www.bing.com/search?q=site:huggingface.co+%22sigclip_vision_patch14_384%22
9,28,CheckpointLoaderSimple,比鲁斯建筑室内通用大模型SD1.5_SD1.5,,,,https://www.bing.com/search?q=site:liblib.art+%22比鲁斯建筑室内通用大模型SD1.5_SD1.5%22
10,41,UNETLoader,绘梦逸境 F.1  | 建筑室内设计大模型 | 空间景观_beta 0.5,,,,https://www.bing.com/search?q=site:liblib.art+%22绘梦逸境+F.1++|+建筑室内设计大模型+|+空间景观_beta+0.5%22
