序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,229,CLIPVisionLoader,CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors%22
2,1002,PulidInsightFaceLoader,CUDA,,,,https://www.bing.com/search?q=site:huggingface.co+%22CUDA%22
3,652,ControlNetLoader,OpenPoseXL2.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22OpenPoseXL2.safetensors%22
4,397,IPAdapterUnifiedLoader,PLUS (high strength),,,,https://www.bing.com/search?q=site:huggingface.co+%22PLUS+(high+strength)%22
5,554,UpscaleModelLoader,RealESRGAN_x4plus.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x4plus.pth%22
6,127,ControlNetLoader,control_instant_id_sdxl.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_instant_id_sdxl.safetensors%22
7,555,ControlNetLoader,control_v11f1e_sd15_tile.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11f1e_sd15_tile.pth%22
8,1092,CheckpointLoaderSimple,dreamshaperXL_lightningInpaint.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaperXL_lightningInpaint.safetensors%22
9,583,CheckpointLoaderSimple,dreamshaperXL_v21TurboDPMSDE.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaperXL_v21TurboDPMSDE.safetensors%22
10,602,CheckpointLoaderSimple,dreamshaper_8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaper_8.safetensors%22
11,989,LoraLoader,fix_hands.pt,,,,https://www.bing.com/search?q=site:huggingface.co+%22fix_hands.pt%22
12,992,UltralyticsDetectorProvider,hand_yolov8s.pt,,,,https://www.bing.com/search?q=site:huggingface.co+%22hand_yolov8s.pt%22
13,126,InstantIDModelLoader,ip-adapter.bin,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter.bin%22
14,1001,PulidModelLoader,ip-adapter_pulid_sdxl_fp16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22ip-adapter_pulid_sdxl_fp16.safetensors%22
15,332,Efficient Loader,majicMIX realistic 麦橘写实_v7.safetensors,,,,https://www.bing.com/search?q=site:liblib.art+%22majicMIX+realistic+麦橘写实_v7.safetensors%22
16,993,SAMLoader,sam_vit_h_4b8939.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22sam_vit_h_4b8939.pth%22
