序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,86,LoraLoader,360Diffusion_v1.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22360Diffusion_v1.safetensors%22
2,36,LoraLoader,360RedmondResized.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22360RedmondResized.safetensors%22
3,40,UpscaleModelLoader,4x_NMKD-Superscale-SP_178000_G.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%224x_NMKD-Superscale-SP_178000_G.pth%22
4,"78,82",Upscale Model Loader,RealESRGAN_x2.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x2.pth%22
5,75,LoraLoader,SDXLrender_v2.0.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22SDXLrender_v2.0.safetensors%22
6,62,ControlNetLoader,control_v11f1e_sd15_tile.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22control_v11f1e_sd15_tile.pth%22
7,32,CheckpointLoaderSimple,dreamshaperXL_v21TurboDPMSDE.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22dreamshaperXL_v21TurboDPMSDE.safetensors%22
8,58,CheckpointLoaderSimple,juggernaut_reborn.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22juggernaut_reborn.safetensors%22
9,18,LLMLoader,llava-v1.6-mistral-7b.Q5_K_M.gguf,,,,https://www.bing.com/search?q=site:huggingface.co+%22llava-v1.6-mistral-7b.Q5_K_M.gguf%22
10,76,LoraLoader,more_details.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22more_details.safetensors%22
11,64,VAELoader,vae-ft-mse-840000-ema-pruned.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22vae-ft-mse-840000-ema-pruned.safetensors%22
