序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,"268,329",GroundingDinoModelLoader (segment anything),GroundingDINO_SwinB (938MB),已处理,https://huggingface.co/ShilongLiu/GroundingDINO,https://hf-mirror.com/ShilongLiu/GroundingDINO,
2,64,UpscaleModelLoader,RealESRGAN_x2plus.pth,已处理,https://huggingface.co/nateraw/real-esrgan/resolve/main/RealESRGAN_x2plus.pth,https://hf-mirror.com/nateraw/real-esrgan/resolve/main/RealESRGAN_x2plus.pth,
3,4,CheckpointLoaderSimple,SD15写实模型.safetensors,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22SD15写实模型.safetensors%22
4,"101,93",CLIPVisionLoader,clip_vision_vit_h.safetensors,已处理,https://huggingface.co/lllyasviel/misc/resolve/main/clip_vision_vit_h.safetensors,https://hf-mirror.com/lllyasviel/misc/resolve/main/clip_vision_vit_h.safetensors,
5,356,ControlNetLoader,control_v11f1p_sd15_depth_fp16.safetensors,已处理,https://huggingface.co/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11f1p_sd15_depth_fp16.safetensors,https://hf-mirror.com/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11f1p_sd15_depth_fp16.safetensors,
6,74,ControlNetLoader,control_v11p_sd15_openpose_fp16.safetensors,已处理,https://huggingface.co/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11p_sd15_openpose_fp16.safetensors,https://hf-mirror.com/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11p_sd15_openpose_fp16.safetensors,
7,370,ControlNetLoader,control_v11p_sd15_scribble_fp16.safetensors,已处理,https://huggingface.co/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11p_sd15_scribble_fp16.safetensors,https://hf-mirror.com/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11p_sd15_scribble_fp16.safetensors,
8,237,UltralyticsDetectorProvider,face_yolov8m.pt,已处理,https://huggingface.co/Bingsu/adetailer/resolve/main/face_yolov8m.pt,https://hf-mirror.com/Bingsu/adetailer/resolve/main/face_yolov8m.pt,
9,"91,99",IPAdapterModelLoader,ip-adapter-plus_sd15.safetensors,已处理,https://huggingface.co/h94/IP-Adapter/resolve/main/models/ip-adapter-plus_sd15.safetensors,https://hf-mirror.com/h94/IP-Adapter/resolve/main/models/ip-adapter-plus_sd15.safetensors,
10,"267,328",SAMModelLoader (segment anything),sam_vit_h (2.56GB),已处理,https://huggingface.co/HCMUE-Research/SAM-vit-h/resolve/main/sam_vit_h_4b8939.pth,https://hf-mirror.com/HCMUE-Research/SAM-vit-h/resolve/main/sam_vit_h_4b8939.pth,
11,238,SAMLoader,sam_vit_h_4b8939.pth,已处理,https://huggingface.co/spaces/abhishek/StableSAM/resolve/main/sam_vit_h_4b8939.pth,https://hf-mirror.com/spaces/abhishek/StableSAM/resolve/main/sam_vit_h_4b8939.pth,
