序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,4,CheckpointLoaderSimple,flux1-dev-fp8.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-dev-fp8.safetensors%22
2,25,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00200.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00200.safetensors%22
3,21,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00400.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00400.safetensors%22
4,10,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00600.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00600.safetensors%22
5,29,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00800.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00800.safetensors%22
6,33,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01000.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01000.safetensors%22
7,37,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01200.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01200.safetensors%22
8,41,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01400.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01400.safetensors%22
9,45,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01600.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01600.safetensors%22
10,57,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01800.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01800.safetensors%22
11,50,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02000.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02000.safetensors%22
12,51,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02200.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02200.safetensors%22
13,64,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02400.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02400.safetensors%22
14,65,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02600.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02600.safetensors%22
15,69,LoraLoaderModelOnly,rumeizi_rank32_bf16-step03640.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step03640.safetensors%22
16,73,LoraLoaderModelOnly,rumeizi_rank32_bf16-step03900.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step03900.safetensors%22
17,77,LoraLoaderModelOnly,rumeizi_rank32_bf16-step04160.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step04160.safetensors%22
