序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,137,UpscaleModelLoader,4x-UltraSharp.pth,已处理,https://huggingface.co/lokCX/4x-Ultrasharp/resolve/main/4x-UltraSharp.pth,https://hf-mirror.com/lokCX/4x-Ultrasharp/resolve/main/4x-UltraSharp.pth,
2,82,LoraLoaderVanilla,EldritchComicsXL1.2.safetensors,已处理,https://huggingface.co/EldritchAdam/SDXL_Eldritch_LoRAs/resolve/main/EldritchComicsXL1.2.safetensors,https://hf-mirror.com/EldritchAdam/SDXL_Eldritch_LoRAs/resolve/main/EldritchComicsXL1.2.safetensors,
3,142,LoraLoaderVanilla,MJMangaSDXL.safetensors,已处理,https://huggingface.co/rajkumaralma/midjourney_manga_art/resolve/main/MJMangaSDXL.safetensors,https://hf-mirror.com/rajkumaralma/midjourney_manga_art/resolve/main/MJMangaSDXL.safetensors,
4,79,CheckpointLoaderSimple,SC-Countryside2D-XL_v1.0.safetensors,已处理,https://huggingface.co/wtz37/sdxl/resolve/main/SC-Countryside2D-XL_v1.0.safetensors,https://hf-mirror.com/wtz37/sdxl/resolve/main/SC-Countryside2D-XL_v1.0.safetensors,
5,145,LoraLoader,add-detail-xl.safetensors,已处理,https://huggingface.co/PvDeep/Add-Detail-XL/resolve/main/add-detail-xl.safetensors,https://hf-mirror.com/PvDeep/Add-Detail-XL/resolve/main/add-detail-xl.safetensors,
6,126,UltralyticsDetectorProvider,face_yolov8m.pt,已处理,https://huggingface.co/Bingsu/adetailer/resolve/main/face_yolov8m.pt,https://hf-mirror.com/Bingsu/adetailer/resolve/main/face_yolov8m.pt,
7,96,ControlNetLoader,mistoLine_fp16.safetensors,已处理,https://huggingface.co/TheMistoAI/MistoLine/resolve/main/mistoLine_fp16.safetensors,https://hf-mirror.com/TheMistoAI/MistoLine/resolve/main/mistoLine_fp16.safetensors,
8,75,Miaoshouai_Tagger,promptgen_large_v2.0,已处理,https://huggingface.co/MiaoshouAI/Florence-2-large-PromptGen-v2.0,https://hf-mirror.com/MiaoshouAI/Florence-2-large-PromptGen-v2.0,
9,127,SAMLoader,sam_vit_b_01ec64.pth,已处理,https://huggingface.co/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,https://hf-mirror.com/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,
10,107,VAELoader,sdxl_vae.safetensors,已处理,https://huggingface.co/stabilityai/sdxl-vae/resolve/main/sdxl_vae.safetensors,https://hf-mirror.com/stabilityai/sdxl-vae/resolve/main/sdxl_vae.safetensors,
11,100,ControlNetLoader,t2i-adapter_diffusers_xl_depth_zoe.safetensors,已处理,https://huggingface.co/TencentARC/t2i-adapter-depth-zoe-sdxl-1.0,https://hf-mirror.com/TencentARC/t2i-adapter-depth-zoe-sdxl-1.0,
