序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,65,PulidInsightFaceLoader,CPU,,,,https://www.bing.com/search?q=site:huggingface.co+%22CPU%22
2,64,PulidEvaClipLoader,EVA02-CLIP-L-14-336,,,,https://www.bing.com/search?q=site:huggingface.co+%22EVA02-CLIP-L-14-336%22
3,88,UNETLoader,F.1-fp8 11G版_flux1-Schnell,,,,https://www.bing.com/search?q=site:liblib.art+%22F.1-fp8+11G版_flux1-Schnell%22
4,10,VAELoader,ae.sft,,,,https://www.bing.com/search?q=site:huggingface.co+%22ae.sft%22
5,11,DualCLIPLoader,clip_l,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_l%22
6,42,StyleModelLoader,flux1-redux-dev,,,,https://www.bing.com/search?q=site:huggingface.co+%22flux1-redux-dev%22
7,66,PulidFluxModelLoader,pulid_flux_v0.9.1.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22pulid_flux_v0.9.1.safetensors%22
8,38,CLIPVisionLoader,siglip-so400m-patch14-384,,,,https://www.bing.com/search?q=site:huggingface.co+%22siglip-so400m-patch14-384%22
9,11,DualCLIPLoader,t5xxl_fp16,,,,https://www.bing.com/search?q=site:huggingface.co+%22t5xxl_fp16%22
10,12,UNETLoader,基础算法_F.1,,,,https://www.bing.com/search?q=site:liblib.art+%22F.1基础算法模型%22
11,56,LoraLoaderModelOnly,手绘星蝶公主风格头像_1.0,,,,https://www.bing.com/search?q=site:liblib.art+%22手绘星蝶公主风格头像_1.0%22
